 --- BEGIN INITIALIZING OPENGL ELEMENTS -----------------
                TIME | OPERATION
 --- DONE INITIALIZING OPENGL ELEMENTS -----------------
 --- ENABLED GL TRACE @ 1.00446e-012 -----------------
                TIME | OPERATION
          0.00000000 | glEnable(GL_TEXTURE_2D)
          0.00000000 | glEnable(GL_BLEND)
          0.00000000 | glEnable(GL_DEPTH_TEST)
          0.00000000 | glEnable(GL_STENCIL_TEST)
          0.00000000 | glEnable(GL_CULL_FACE)
          0.00000000 | glShadeModel(GL_SMOOTH)
          0.00000000 | glDepthFunc(GL_LEQUAL)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
          0.00000000 | glClearColor(0.000000, 0.000000, 0.000000, 1.000000)
          0.00000000 | glClear(4500)
